號碼,選區,選民人數,投票率,黃潤達,尹兆堅,高志輝,周永勤,鄭松泰,鄺官穩,田北辰,何君堯,梁志祥,郭家麒,黃浩銘,李卓人,黃俊傑,麥美娟,馮檢基,陳恒鑌,張慧晶,呂智恆,湯詠芝,朱凱廸,總有效,無效,非建制,建制,得票率差,黃潤達%,尹兆堅%,高志輝%,周永勤%,鄭松泰%,鄺官穩%,田北辰%,何君堯%,梁志祥%,郭家麒%,黃浩銘%,李卓人%,黃俊傑%,麥美娟%,馮檢基%,陳恒鑌%,張慧晶%,呂智恆%,湯詠芝%,朱凱廸%
S15,祖堯,8459,65.00%,132,319,1,5,349,4,414,353,32,482,252,237,51,166,179,1778,12,10,25,626,5427,71,49.05%,50.73%,-1.68%,2.43%,5.88%,0.02%,0.09%,6.43%,0.07%,7.63%,6.50%,0.59%,8.88%,4.64%,4.37%,0.94%,3.06%,3.30%,32.76%,0.22%,0.18%,0.46%,11.53%
S16*^,興芳,9890,64.29%,648.584973041104,511.778656956796,9.15398081366851,11.0771654646033,489.015054968139,7.30796162733702,514.394230095932,246.468944751768,82.9252853441636,466.23709824242,278.469644982844,278.391779287165,85.6176738323647,291.243750437644,178.387928016245,1391.97920313704,23.5391079056089,8.07716546460332,35.4622925565437,719.555213220363,6277.66711014635,80.4664939430012,58.93%,40.69%,18.24%,10.33%,8.15%,0.15%,0.18%,7.79%,0.12%,8.19%,3.93%,1.32%,7.43%,4.44%,4.43%,1.36%,4.64%,2.84%,22.17%,0.37%,0.13%,0.56%,11.46%
S17,荔景,8224,52.03%,184,294,3,4,310,5,338,194,54,317,260,230,86,307,182,845,15,13,23,517,4181,98,57.79%,41.86%,15.93%,4.40%,7.03%,0.07%,0.10%,7.41%,0.12%,8.08%,4.64%,1.29%,7.58%,6.22%,5.50%,2.06%,7.34%,4.35%,20.21%,0.36%,0.31%,0.55%,12.37%
S18,葵盛西邨,10721,53.75%,1062,181,1,4,444,8,249,145,55,250,233,217,69,1634,106,401,20,4,19,542,5644,119,55.40%,44.24%,11.16%,18.82%,3.21%,0.02%,0.07%,7.87%,0.14%,4.41%,2.57%,0.97%,4.43%,4.13%,3.84%,1.22%,28.95%,1.88%,7.10%,0.35%,0.07%,0.34%,9.60%
S19*,安灝,12245,57.73%,185.376006349926,504.675473409684,8.37419208527044,16.266356729788,612.041387912462,2.96405488150584,659.442227009865,414.578750425218,136.023018482821,638.577729901349,341.93820161016,392.557546207053,166.09490871981,662.278262841592,192.671844880372,941.541784782855,42.9428506633405,10.9281097630117,20.1944664927996,997.930717768455,6947.39789091734,121.70597573421,58.48%,40.90%,17.58%,2.67%,7.26%,0.12%,0.23%,8.81%,0.04%,9.49%,5.97%,1.96%,9.19%,4.92%,5.65%,2.39%,9.53%,2.77%,13.55%,0.62%,0.16%,0.29%,14.36%
S20*,偉盈,10168,69.43%,171.759272880109,507.629400021015,5.85405064621204,6.28107596931806,451.229273930861,0.42702532310602,754.58316696438,218.11873489545,67.1810444467795,885.745192812861,290.580855311548,332.897026373857,104.216139539771,1391.8642429337,284.648418619313,502.407691499422,146.080697698855,17.3486392770831,27.1243038772723,832.272249658506,6998.24850267942,61.6539876011348,55.81%,42.11%,13.70%,2.45%,7.25%,0.08%,0.09%,6.45%,0.01%,10.78%,3.12%,0.96%,12.66%,4.15%,4.76%,1.49%,19.89%,4.07%,7.18%,2.09%,0.25%,0.39%,11.89%
S21,青衣邨,10597,56.70%,202,380,4,9,543,5,544,201,95,508,287,348,106,850,199,570,97,17,23,905,5893,116,59.70%,38.66%,21.04%,3.43%,6.45%,0.07%,0.15%,9.21%,0.08%,9.23%,3.41%,1.61%,8.62%,4.87%,5.91%,1.80%,14.42%,3.38%,9.67%,1.65%,0.29%,0.39%,15.36%
S22*,翠怡,9864,67.98%,202.240727119891,369.370599978985,5.14594935378796,5.71892403068194,537.770726069139,1.57297467689398,712.416833035621,372.88126510455,50.8189555532206,810.254807187139,268.419144688452,310.102973626143,84.7838604602291,707.135757066302,246.351581380687,648.592308500578,428.919302301145,15.6513607229169,21.8756961227278,831.727750341494,6631.75149732059,73.3460123988652,55.77%,37.76%,18.01%,3.05%,5.57%,0.08%,0.09%,8.11%,0.02%,10.74%,5.62%,0.77%,12.22%,4.05%,4.68%,1.28%,10.66%,3.71%,9.78%,6.47%,0.24%,0.33%,12.54%
S23,長青,10648,53.46%,195,535,6,7,522,1,806,255,75,357,288,243,94,598,158,686,80,5,32,632,5575,117,54.91%,43.66%,11.25%,3.50%,9.60%,0.11%,0.13%,9.36%,0.02%,14.46%,4.57%,1.35%,6.40%,5.17%,4.36%,1.69%,10.73%,2.83%,12.30%,1.43%,0.09%,0.57%,11.34%
S24*,長康,9081,54.03%,115.659679767103,274.501892285298,5.68879184861718,8.34439592430859,401.999708879185,4.34439592430859,1407.89490538574,125.842212518195,54.2655021834061,315.501892285298,229.257059679767,235.962445414847,60.2323144104804,265.667831149927,128.020669577875,535.447743813683,46.5103347889374,3.68879184861718,15.0497816593886,564.954002911208,4798.83435225619,107.597379912664,48.86%,50.17%,-1.31%,2.41%,5.72%,0.12%,0.17%,8.38%,0.09%,29.34%,2.62%,1.13%,6.57%,4.78%,4.92%,1.26%,5.54%,2.67%,11.16%,0.97%,0.08%,0.31%,11.77%
