號碼,選區,選民人數,投票率,吳文遠,何志光,毛孟靜,梁美芬,譚國僑,朱韶洪,黃毓民,黃碧雲,林依麗,蔣麗芸,關新偉,劉小麗,游蕙禎,李泳漢,狄志遠,總有效,無效,非建制,建制,其他,得票率差,吳文遠%,何志光%,毛孟靜%,梁美芬%,譚國僑%,朱韶洪%,黃毓民%,黃碧雲%,林依麗%,蔣麗芸%,關新偉%,劉小麗%,游蕙禎%,李泳漢%,狄志遠%
F07,南昌中,4991,49.99%,84,9,230,236,86,5,179,176,10,817,13,301,197,14,66,2423,72,53.28%,44.00%,2.72%,9.29%,3.47%,0.37%,9.49%,9.74%,3.55%,0.21%,7.39%,7.26%,0.41%,33.72%,0.54%,12.42%,8.13%,0.58%,2.72%
F08,南昌西,7727,51.03%,128,6,394,539,509,8,310,275,11,708,14,528,308,8,128,3874,69,64.15%,32.55%,3.30%,31.60%,3.30%,0.15%,10.17%,13.91%,13.14%,0.21%,8.00%,7.10%,0.28%,18.28%,0.36%,13.63%,7.95%,0.21%,3.30%
F09,富昌,11256,54.84%,129,5,355,2206,810,15,542,199,7,399,17,609,579,8,165,6045,128,53.90%,43.37%,2.73%,10.52%,2.13%,0.08%,5.87%,36.49%,13.40%,0.25%,8.97%,3.29%,0.12%,6.60%,0.28%,10.07%,9.58%,0.13%,2.73%
F10,麗閣,9110,55.78%,102,8,478,567,602,13,395,342,14,1159,13,710,314,23,204,4944,138,60.70%,35.17%,4.13%,25.53%,2.06%,0.16%,9.67%,11.47%,12.18%,0.26%,7.99%,6.92%,0.28%,23.44%,0.26%,14.36%,6.35%,0.47%,4.13%
F11*,幸福,7701,58.62%,102,10.9066666666667,347.106666666667,379.453333333333,734.733333333333,9.49333333333333,304.026666666667,259.066666666667,12.9066666666667,1266.04,24.9333333333333,474.426666666667,332.653333333333,25.64,126.506666666667,4409.89333333333,104.786666666667,59.25%,37.88%,2.87%,21.37%,2.31%,0.25%,7.87%,8.60%,16.66%,0.22%,6.89%,5.87%,0.29%,28.71%,0.57%,10.76%,7.54%,0.58%,2.87%
F12*,荔枝角南,9152,60.76%,128,11.0933333333333,407.893333333333,485.546666666667,1284.26666666667,14.5066666666667,389.973333333333,302.933333333333,11.0933333333333,1128.96,17.0666666666667,671.573333333333,434.346666666667,15.36,177.493333333333,5480.10666666667,80.2133333333333,66.99%,29.77%,3.24%,37.22%,2.34%,0.20%,7.44%,8.86%,23.44%,0.26%,7.12%,5.53%,0.20%,20.60%,0.31%,12.25%,7.93%,0.28%,3.24%
F13,美孚南,8732,67.95%,123,6,1001,841,65,9,289,595,11,1290,31,855,342,3,415,5876,57,56.14%,36.79%,7.06%,19.35%,2.09%,0.10%,17.04%,14.31%,1.11%,0.15%,4.92%,10.13%,0.19%,21.95%,0.53%,14.55%,5.82%,0.05%,7.06%
F14,美孚中,7442,66.80%,106,2,911,743,55,9,300,510,11,858,16,778,300,14,291,4904,67,61.09%,32.97%,5.93%,28.12%,2.16%,0.04%,18.58%,15.15%,1.12%,0.18%,6.12%,10.40%,0.22%,17.50%,0.33%,15.86%,6.12%,0.29%,5.93%
F15,美孚北,8175,67.52%,117,7,1000,846,72,8,351,559,12,955,18,863,307,12,350,5477,43,60.40%,33.21%,6.39%,27.19%,2.14%,0.13%,18.26%,15.45%,1.31%,0.15%,6.41%,10.21%,0.22%,17.44%,0.33%,15.76%,5.61%,0.22%,6.39%
F16,荔枝角中,7565,77.11%,85,6,807,1035,101,9,317,1034,7,665,22,945,318,5,435,5791,42,62.75%,29.74%,7.51%,33.02%,1.47%,0.10%,13.94%,17.87%,1.74%,0.16%,5.47%,17.86%,0.12%,11.48%,0.38%,16.32%,5.49%,0.09%,7.51%
