號碼,選區,選民人數,投票率,方國珊,林卓廷,廖添誠,陳雲根,梁國雄,張超雄,楊岳橋,麥嘉晉,鄭家富,葛珮帆,侯志強,李梓敬,鄧家彪,范國威,陳玉娥,黃琛喻,李偲嫣,陳志全,梁頌恆,梁金成,容海恩,陳克勤,總有效,無效,非建制,建制,其他,方國珊%,林卓廷%,廖添誠%,陳雲根%,梁國雄%,張超雄%,楊岳橋%,麥嘉晉%,鄭家富%,葛珮帆%,侯志強%,李梓敬%,鄧家彪%,范國威%,陳玉娥%,黃琛喻%,李偲嫣%,陳志全%,梁頌恆%,梁金成%,容海恩%,陳克勤%
R05,愉城,8638,69.44%,255,433,7,221,341,680,746,217,163,395,3,259,144,251,3,11,17,494,307,1,836,161,5945,53,61.36%,30.58%,8.06%,4.29%,7.28%,0.12%,3.72%,5.74%,11.44%,12.55%,3.65%,2.74%,6.64%,0.05%,4.36%,2.42%,4.22%,0.05%,0.19%,0.29%,8.31%,5.16%,0.02%,14.06%,2.71%
R06,王屋,8276,69.42%,246,436,10,252,344,581,608,130,195,598,11,386,193,226,7,20,33,499,335,4,356,227,5697,48,61.44%,31.79%,6.78%,4.32%,7.65%,0.18%,4.42%,6.04%,10.20%,10.67%,2.28%,3.42%,10.50%,0.19%,6.78%,3.39%,3.97%,0.12%,0.35%,0.58%,8.76%,5.88%,0.07%,6.25%,3.98%
R07,沙角,10082,55.08%,161,288,7,219,399,424,385,32,406,414,15,124,382,280,9,12,39,386,322,4,968,176,5452,101,57.32%,39.01%,3.67%,2.95%,5.28%,0.13%,4.02%,7.32%,7.78%,7.06%,0.59%,7.45%,7.59%,0.28%,2.27%,7.01%,5.14%,0.17%,0.22%,0.72%,7.08%,5.91%,0.07%,17.75%,3.23%
R08,博康,11629,54.05%,161,421,6,217,438,473,466,52,595,393,18,111,354,364,9,22,28,488,358,3,1049,177,6203,82,61.99%,34.48%,3.53%,2.60%,6.79%,0.10%,3.50%,7.06%,7.63%,7.51%,0.84%,9.59%,6.34%,0.29%,1.79%,5.71%,5.87%,0.15%,0.35%,0.45%,7.87%,5.77%,0.05%,16.91%,2.85%
R09,乙明,10627,57.54%,188,296,5,244,379,370,447,45,786,506,31,142,379,415,15,19,31,440,351,5,757,192,6043,72,62.09%,33.97%,3.94%,3.11%,4.90%,0.08%,4.04%,6.27%,6.12%,7.40%,0.74%,13.01%,8.37%,0.51%,2.35%,6.27%,6.87%,0.25%,0.31%,0.51%,7.28%,5.81%,0.08%,12.53%,3.18%
R10*^,秦豐,9053,66.75%,228.177086743044,926.53726132024,8.89001636661211,233.115984724495,429.684124386252,478.085324604474,433.635242771413,66.1812329514457,150.142498636116,471.170867430442,34.5722858701582,176.812547735952,251.88379705401,212.3726132024,7.90223677032188,37.5356246590289,40.4989634478996,459.317512274959,300.284997272231,2.9633387888707,832.698199672668,196.568139661757,5979.02989634479,64.2056737588653,61.28%,33.65%,5.07%,3.82%,15.50%,0.15%,3.90%,7.19%,8.00%,7.25%,1.11%,2.51%,7.88%,0.58%,2.96%,4.21%,3.55%,0.13%,0.63%,0.68%,7.68%,5.02%,0.05%,13.93%,3.29%
R11*,新田圍,8949,56.95%,220.479318809351,452.220458613756,6.17463357747562,238.396609653097,368.498243897892,429.23443374105,391.3989241225,45.7205401060626,148.796138710022,377.134287786376,18.7430713849453,161.179035894027,614.990836364854,267.653223712845,6.99612802260586,14.3068317511751,34.1256291566724,378.97837096669,295.943925314607,4.03352302206035,377.637531574177,151.795537084395,5004.43723326664,92.288709374325,59.74%,34.82%,5.44%,4.41%,9.04%,0.12%,4.76%,7.36%,8.58%,7.82%,0.91%,2.97%,7.54%,0.37%,3.22%,12.29%,5.35%,0.14%,0.29%,0.68%,7.57%,5.91%,0.08%,7.55%,3.03%
R12*,翠田,8781,61.71%,219.625784215001,341.201540496565,6.07949996661667,238.63358297066,386.828803340608,545.613642564379,478.746034730355,60.7835133349009,183.124433393018,422.505261463456,31.1810417396616,221.116598788553,293.362866267729,452.851761985719,2.28078882563884,15.1976012834151,16.7228748507642,400.50572558918,317.674433788687,3.03997970993365,571.655859255718,159.575272929109,5368.30690148967,50.1553004080242,62.65%,32.01%,5.34%,4.09%,6.36%,0.11%,4.45%,7.21%,10.16%,8.92%,1.13%,3.41%,7.87%,0.58%,4.12%,5.46%,8.44%,0.04%,0.28%,0.31%,7.46%,5.92%,0.06%,10.65%,2.97%
R13*,顯嘉,9425,58.81%,230.293796054195,493.794865700024,5.70691704302353,240.569764677918,395.639410506299,527.794865700024,525.277632517233,58.9139529355836,178.052293796054,373.242690753506,11.1552174946518,175.793677204659,257.0527691942,213.879961968148,6.22415022581412,23.8276681720941,36.20703589256,511.277632517233,342.207986688852,3.96553363441883,662.692179700499,205.190396957452,5478.76039933444,64.41407178512,63.09%,31.53%,5.38%,4.20%,9.01%,0.10%,4.39%,7.22%,9.63%,9.59%,1.08%,3.25%,6.81%,0.20%,3.21%,4.69%,3.90%,0.11%,0.43%,0.66%,9.33%,6.25%,0.07%,12.10%,3.75%
R14,下城門,8384,54.32%,166,220,7,229,319,332,370,40,109,442,13,118,321,114,3,21,15,355,324,2,829,139,4488,66,53.36%,41.89%,4.75%,3.70%,4.90%,0.16%,5.10%,7.11%,7.40%,8.24%,0.89%,2.43%,9.85%,0.29%,2.63%,7.15%,2.54%,0.07%,0.47%,0.33%,7.91%,7.22%,0.04%,18.47%,3.10%
